Date,Time,Count
2020-05-12,15-42-00,1
2020-05-12,15-45-21,1
2020-05-12,15-48-42,4
2020-05-12,15-52-03,3
2020-05-12,15-55-24,1
2020-05-12,15-58-45,4
2020-05-12,16-02-06,1
2020-05-12,16-05-27,3
2020-05-12,16-08-48,3
2020-05-12,16-12-09,1
2020-05-12,16-15-30,2
2020-05-12,16-18-51,4
2020-05-12,16-22-12,3
2020-05-12,16-25-33,3
2020-05-12,16-28-54,2
2020-05-12,16-32-15,3
2020-05-12,16-35-36,5
2020-05-12,16-38-57,4
2020-05-12,16-42-18,4
2020-05-12,16-45-39,0
2020-05-12,16-49-00,2
2020-05-12,16-52-21,5
2020-05-12,16-55-42,3
2020-05-12,16-59-03,4
2020-05-12,17-02-24,2
2020-05-12,17-05-45,2
2020-05-12,17-09-06,13
2020-05-12,17-12-27,2
2020-05-12,17-15-48,4
2020-05-12,17-19-09,6
2020-05-12,17-22-30,2
2020-05-12,17-25-51,2
2020-05-12,17-29-12,4
2020-05-12,17-32-33,2
2020-05-12,17-35-54,3
2020-05-12,17-39-15,4
2020-05-12,17-42-36,6
2020-05-12,17-45-57,3
2020-05-12,17-49-18,3
2020-05-12,17-52-39,2
2020-05-12,17-56-00,8
2020-05-12,17-59-21,2
2020-05-12,18-02-42,1
2020-05-12,18-06-03,1
2020-05-12,18-09-24,1
2020-05-12,18-12-45,2
2020-05-12,18-16-06,6
2020-05-12,18-19-27,2
2020-05-12,18-22-48,4
2020-05-12,18-26-09,4
2020-05-13,09-00-00,4
2020-05-13,09-03-21,1
2020-05-13,09-06-42,0
2020-05-13,09-10-03,1
2020-05-13,09-13-24,4
2020-05-13,09-16-45,4
2020-05-13,09-20-06,1
2020-05-13,09-23-27,3
2020-05-13,09-26-48,2
2020-05-13,09-30-09,2
2020-05-13,09-33-30,2
2020-05-13,09-36-51,6
2020-05-13,09-40-12,3
2020-05-13,09-43-33,8
2020-05-13,09-46-54,4
2020-05-13,09-50-15,5
2020-05-13,09-53-36,7
2020-05-13,09-56-57,2
2020-05-13,10-00-18,2
2020-05-13,10-03-39,3
2020-05-13,10-07-00,5
2020-05-13,10-10-21,4
2020-05-13,10-13-42,2
2020-05-13,10-17-03,5
2020-05-13,10-20-24,3
2020-05-13,10-23-45,1
2020-05-13,10-27-06,1
2020-05-13,10-30-27,6
2020-05-13,10-33-48,1
2020-05-13,10-37-09,0
2020-05-13,10-40-30,1
2020-05-13,10-43-51,2
2020-05-13,10-47-12,2
2020-05-13,10-50-33,3
2020-05-13,10-53-54,6
2020-05-13,10-57-15,1
2020-05-13,11-00-36,1
2020-05-13,11-03-57,2
2020-05-13,11-07-18,4
2020-05-13,11-10-39,2
2020-05-13,11-14-00,2
2020-05-13,11-17-21,3
2020-05-13,11-20-42,1
2020-05-13,11-24-03,2
2020-05-13,11-27-24,2
2020-05-13,11-30-45,5
2020-05-13,11-34-06,4
2020-05-13,11-37-27,3
2020-05-13,11-40-48,3
2020-05-13,11-44-09,10
2020-05-13,11-47-30,0
2020-05-13,11-50-51,3
2020-05-13,11-54-12,3
2020-05-13,11-57-33,3
2020-05-13,12-00-54,3
2020-05-13,12-04-15,2
2020-05-13,12-07-36,3
2020-05-13,12-10-57,1
2020-05-13,12-14-18,2
2020-05-13,12-17-39,3
2020-05-13,12-21-00,1
2020-05-13,12-24-21,2
2020-05-13,12-27-42,3
2020-05-13,12-31-03,2
2020-05-13,12-34-24,2
2020-05-13,12-37-45,1
2020-05-13,12-41-06,2
2020-05-13,12-44-27,4
